Label,Average Distance-to-Default (ADD),Portfolio Distance-to-Default (PDD),PDD-ADD (Spread),KBE ETF
12/30/2013,4.9867,6.2453,1.2585,33.08
12/31/2013,4.9786,6.3044,1.3257,33.17
1/2/2014,4.8757,6.1646,1.2889,32.81
1/3/2014,4.8798,6.2338,1.354,32.85
1/6/2014,4.8743,6.3167,1.4424,32.84
1/7/2014,5.0003,6.42,1.4197,33.05
1/8/2014,5.0388,6.3841,1.3453,33.34
1/9/2014,5.023,6.4771,1.4542,33.58
1/10/2014,5.1176,6.4618,1.3442,33.5
1/13/2014,4.9441,6.2857,1.3416,33.11
1/14/2014,5.1073,6.4129,1.3056,33.24
1/15/2014,5.0908,6.613,1.5222,33.52
1/16/2014,5.1032,6.4865,1.3832,33.31
1/17/2014,5.1704,6.6476,1.4772,33.31
1/21/2014,5.1133,6.6165,1.5032,33.83
1/22/2014,5.2404,6.5752,1.3348,34.03
1/23/2014,5.1909,6.3356,1.1447,33.59
1/24/2014,4.9729,5.7331,0.7601,32.78
1/27/2014,4.9629,5.6197,0.6568,32.44
1/28/2014,4.9486,5.7348,0.7861,32.57
1/29/2014,4.9574,5.5805,0.6231,32.11
1/30/2014,4.9582,5.7064,0.7482,32.44
1/31/2014,4.8807,5.5036,0.6229,31.91
2/3/2014,4.358,4.9627,0.6047,30.78
2/4/2014,4.5897,5.1608,0.5711,31.26
2/5/2014,4.545,5.1137,0.5687,31.26
2/6/2014,4.6691,5.3247,0.6556,31.61
2/7/2014,4.7621,5.6321,0.87,31.81
2/10/2014,4.7911,5.6851,0.8941,31.87
2/11/2014,4.8416,5.8671,1.0256,32.18
2/12/2014,4.8516,5.8798,1.0282,32.22
2/13/2014,4.8654,5.9246,1.0592,32.31
2/14/2014,4.8712,6.0982,1.2269,32.47
2/18/2014,4.8008,6.0796,1.2788,32.55
2/19/2014,4.6536,5.8832,1.2296,31.75
2/20/2014,4.8051,5.8808,1.0757,31.84
2/21/2014,4.7248,5.9892,1.2644,32.03
2/24/2014,4.837,6.2135,1.3765,32.51
2/25/2014,4.7165,6.0396,1.3231,32.31
2/26/2014,4.7985,6.0293,1.2308,32.61
2/27/2014,4.8955,6.0941,1.1987,32.77
2/28/2014,4.9188,6.2425,1.3237,33
3/3/2014,4.7149,5.9317,1.2168,32.7
3/4/2014,4.9191,6.2416,1.3224,33.35
3/5/2014,4.9326,6.2443,1.3116,33.41
3/6/2014,5.0301,6.3298,1.2998,33.65
3/7/2014,5.0374,6.3723,1.3349,33.92
3/10/2014,5.0091,6.3103,1.3011,33.92
3/11/2014,4.9841,6.2968,1.3127,33.67
3/12/2014,4.9123,6.0954,1.183,33.62
3/13/2014,4.8571,5.9588,1.1017,33.42
3/14/2014,4.7165,5.7671,1.0507,33.35
3/17/2014,4.804,5.9635,1.1595,33.56
3/18/2014,4.9509,6.1431,1.1922,33.81
3/19/2014,5.0123,6.3793,1.3671,34.02
3/20/2014,5.0348,6.114,1.0792,34.67
3/21/2014,5.1062,6.3347,1.2285,34.46
3/24/2014,4.9284,6.2576,1.3292,34.26
3/25/2014,5.0972,6.3472,1.2501,34.22
3/26/2014,5.0731,6.1978,1.1247,33.84
3/27/2014,4.869,5.8921,1.023,33.31
3/28/2014,4.9344,6.0288,1.0944,33.49
3/31/2014,5.1454,6.2843,1.139,34.04
4/1/2014,5.1069,6.4128,1.3059,34.5
4/2/2014,5.1416,6.35,1.2085,34.43
4/3/2014,5.1303,6.3224,1.1921,34.49
4/4/2014,5.1191,6.0941,0.975,33.87
4/7/2014,4.8505,5.8538,1.0032,33.44
4/8/2014,4.8486,5.9367,1.0881,33.48
4/9/2014,4.902,6.0848,1.1828,33.51
4/10/2014,4.6235,5.6009,0.9774,32.53
4/11/2014,4.6604,5.5478,0.8874,32.24
4/14/2014,4.6238,5.4733,0.8496,32.36
4/15/2014,4.7506,5.7092,0.9587,32.56
4/16/2014,4.8977,5.8947,0.9969,32.76
4/17/2014,4.958,6.135,1.177,32.78
4/21/2014,4.827,6.484,1.6569,32.75
4/22/2014,5.0933,5.988,0.8947,32.97
4/23/2014,5.1126,6.032,0.9195,33.1
4/24/2014,5.0678,5.958,0.8902,32.62
4/25/2014,5.051,5.9064,0.8555,32.2
4/28/2014,4.951,5.8073,0.8563,31.9
4/29/2014,4.9658,5.8797,0.9139,31.89
4/30/2014,5.0139,6.0993,1.0855,32.06
5/1/2014,4.9768,6.0397,1.063,31.94
5/2/2014,5.1107,6.1605,1.0498,32.08
5/5/2014,5.0228,5.9585,0.9357,31.83
5/6/2014,4.954,5.8643,0.9103,31.36
5/7/2014,5.07,5.8648,0.7948,31.66
5/8/2014,5.0851,5.9791,0.894,31.66
5/9/2014,5.1168,6.0733,0.9565,31.72
5/12/2014,5.1766,6.3609,1.1843,32.22
5/13/2014,5.1212,6.2984,1.1773,31.99
5/14/2014,4.99,6.1321,1.1421,31.4
5/15/2014,5.0785,5.9013,0.8228,31.13
5/16/2014,4.9928,6.0642,1.0714,31.03
5/19/2014,5.1157,6.2755,1.1598,31.47
5/20/2014,5.1285,6.3322,1.2038,31.26
5/21/2014,5.14,6.439,1.2989,31.47
